current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,,sensor,sensor.home_assistant_host_os_agent_version,Home Assistant Host OS Agent version,,,,,1.7.2,,
,,sensor,sensor.home_assistant_host_apparmor_version,Home Assistant Host AppArmor version,,,,,3.1.7,,
,data_size,sensor,sensor.home_assistant_host_disk_total,Home Assistant Host Disk total,,,,,109.3,,GB
,data_size,sensor,sensor.home_assistant_host_disk_used,Home Assistant Host Disk used,,,,,45.7,,GB
,data_size,sensor,sensor.home_assistant_host_disk_free,Home Assistant Host Disk free,,,,,59.2,,GB
,,sensor,sensor.home_assistant_operating_system_version,Home Assistant Operating System Version,,,,,16.3,,
,,sensor,sensor.home_assistant_operating_system_newest_version,Home Assistant Operating System Newest version,,,,,16.3,,
,energy,sensor,sensor.deyeinvertermaster_solar_power_used,deyeinvertermaster_solar_power_used,,,,,0.0,,kWh
,power,sensor,sensor.deyeinvertermaster_essential_load,deyeinvertermaster_essential_load,,,,,828,,W
,power,sensor,sensor.deyeinvertermaster_non_essential_load,deyeinvertermaster_non_essential_load,,,,,-216,,W
,,sensor,sensor.deyeinvertermaster_priority_charge_or_load,deyeinvertermaster_priority_charge_or_load,,,,,on,,
,,sensor,sensor.influxdb_flow_status,influxdb_flow_status,,,,,pending,,
,energy,sensor,sensor.deyeinvertermaster_solar_power_used_2,deyeinvertermaster_solar_power_used,,,,,0.0,,kWh
,power,sensor,sensor.deyeinvertermaster_essential_load_2,deyeinvertermaster_essential_load,,,,,unavailable,,W
,power,sensor,sensor.deyeinvertermaster_non_essential_load_2,deyeinvertermaster_non_essential_load,,,,,-216,,W
,,sensor,sensor.deyeinvertermaster_priority_charge_or_load_2,deyeinvertermaster_priority_charge_or_load,,,,,on,,
,power,sensor,sensor.deyeinvertermaster_battery_charge_grid_power,deyeinvertermaster_battery_charge_grid_power,,,,,0.452,,kW
,energy,sensor,sensor.deyeinverterslave_solar_power_used,deyeinverterslave_solar_power_used,,,,,0.0,,kWh
